city,composite_id,event_date,noaa_event_ids,s1_before_date,s1_after_date,s1_before_offset_days,s1_after_offset_days,s1_before_image_id,s1_after_image_id,satellite,mode,product,polarization,relative_orbit,study_role,in_gee_hotspot_map,threshold_train
raleigh,755610,2018-05-21,755610,2018-05-10,2018-05-22,-11,1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20180510T231408_20180510T231433_021849_025BA5_EB89,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20180522T231409_20180522T231434_022024_026137_6DDC,S1A,IW,GRDH,1SDV,021849,map_sar_threshold_train,yes,yes
raleigh,775032_and_4_more,2018-07-06,775032;775034;775037;775029;775031,2018-06-27,2018-07-09,-9,3,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20180627T231411_20180627T231436_022549_027150_2A0E,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20180709T231411_20180709T231436_022724_02766D_A8A8,S1A,IW,GRDH,1SDV,022549,sar_composite_not_in_gee_map,no,no
raleigh,1029187,2022-05-23,1029187,2022-05-13,2022-05-25,-10,2,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220513T231430_20220513T231455_043199_0528C5_5077,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220525T231430_20220525T231455_043374_052DF9_09E0,S1A,IW,GRDH,1SDV,043199,map_sar,yes,no
raleigh,1047652,2022-07-09,1047652,2022-06-30,2022-07-12,-9,3,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220630T231433_20220630T231458_043899_053D99_7184,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220712T231434_20220712T231459_044074_0542D0_CD93,S1A,IW,GRDH,1SDV,043899,sar_composite_not_in_gee_map,no,no
raleigh,1173317,2024-05-25,1173317,2024-05-14,2024-05-26,-11,1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240514T231439_20240514T231504_053874_068C4B_5E79,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240526T231440_20240526T231505_054049_069253_4EF3,S1A,IW,GRDH,1SDV,053874,map_sar,yes,no
raleigh,1197141,2024-07-12,1197141,2024-07-01,2024-07-13,-11,1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240701T231438_20240701T231503_054574_06A484_A92A,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240713T231438_20240713T231503_054749_06AA93_B3A0,S1A,IW,GRDH,1SDV,054574,sar_composite_not_in_gee_map,no,no
raleigh,1208861_and_1_more,2024-08-03,1208861;1208432,2024-07-13,2024-08-06,-21,3,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240713T231438_20240713T231503_054749_06AA93_B3A0,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240806T231437_20240806T231502_055099_06B6C2_779E,S1A,IW,GRDH,1SDV,054749,sar_composite_not_in_gee_map,no,no
houston,579534,2015-05-30,579534,2015-05-07,2015-05-31,-23,1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20150507T122236_20150507T122305_005815_0077A7_ABD7,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20150531T122237_20150531T122307_006165_008054_86FA,S1A,IW,GRDH,1SDV,005815,map_sar_threshold_train,yes,yes
houston,675235_and_1_more,2017-01-18,675235;675098,2017-01-08,2017-01-20,-10,2,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20170108T001813_20170108T001842_014733_017FB8_BB4E,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20170120T001812_20170120T001841_014908_018538_5822,S1A,IW,GRDH,1SDV,014733,map_sar_threshold_train,yes,yes
houston,710731,2017-06-04,710731,2017-05-25,2017-06-06,-10,2,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20170525T002614_20170525T002639_016731_01BC9B_8DEE,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20170606T002615_20170606T002640_016906_01C211_F481,S1A,IW,GRDH,1SDV,016731,map_sar_threshold_train,yes,yes
