city,event_id,event_date,s1_total_passes,s1_before_date,s1_before_offset_days,s1_before_image_id,s1_before_valid_fraction,s1_after_date,s1_after_offset_days,s1_after_image_id,s1_after_valid_fraction,s2_before_date,s2_before_offset_days,s2_before_image_id,s2_before_valid_fraction,s2_after_date,s2_after_offset_days,s2_after_image_id,s2_after_valid_fraction,landsat_before_date,landsat_before_offset_days,landsat_before_image_id,landsat_before_valid_fraction,landsat_after_date,landsat_after_offset_days,landsat_after_image_id,landsat_after_valid_fraction,noaa_event_ids,noaa_event_dates,noaa_event_count
houston,579534,2015-05-30,2,2015-05-07,-23,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20150507T122236_20150507T122305_005815_0077A7_ABD7,,2015-05-31,1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20150531T122237_20150531T122307_006165_008054_86FA,,,,,,,,,,2015-05-26,-4,LANDSAT/LC08/C02/T1_L2/LC08_026039_20150526,0.201,,,,,579534,2015-05-30,1
houston,675235_and_1_more,2017-01-18,15,2017-01-08,-10,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20170108T001813_20170108T001842_014733_017FB8_BB4E,,2017-01-20,2,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20170120T001812_20170120T001841_014908_018538_5822,,2017-01-07,-11,COPERNICUS/S2_SR/20170107T170701_20170107T170831_T15RTN,0.676,,,,,2017-01-16,-2,LANDSAT/LC08/C02/T1_L2/LC08_025039_20170116,0.677,,,,,675235;675098,2017-01-18;2017-01-20,2
houston,710731,2017-06-04,14,2017-05-25,-10,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20170525T002614_20170525T002639_016731_01BC9B_8DEE,,2017-06-06,2,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20170606T002615_20170606T002640_016906_01C211_F481,,2017-05-24,-11,COPERNICUS/S2_SR/20170524T170531_20170524T170526_T15RTN,0.559,,,,,2017-05-24,-11,LANDSAT/LC08/C02/T1_L2/LC08_025039_20170524,0.999,,,,,710731,2017-06-04,1
houston,710726_and_1_more,2017-06-24,13,2017-06-13,-11,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20170613T001820_20170613T001845_017008_01C531_1EE5,,2017-06-25,1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20170625T001820_20170625T001845_017183_01CA88_6F42,,2017-06-16,-8,COPERNICUS/S2_SR/20170616T170311_20170616T171505_T15RTN,0.476,,,,,2017-06-16,-8,LANDSAT/LC08/C02/T1_L2/LC08_026039_20170616,0.176,2017-06-25,1,LANDSAT/LC08/C02/T1_L2/LC08_025039_20170625,0.303,710726;710727,2017-06-24;2017-06-25,2
houston,721084_and_5_more,2017-08-27,10,2017-08-05,-22,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20170805T002619_20170805T002644_017781_01DCB4_1716,,2017-08-29,2,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20170829T002620_20170829T002645_018131_01E74D_D734,,2017-08-15,-12,COPERNICUS/S2_SR/20170815T165851_20170815T171519_T15RTP,0.458,,,,,2017-08-19,-8,LANDSAT/LC08/C02/T1_L2/LC08_026039_20170819,0.149,,,,,721084;721085;721091;721096;721101;721136,2017-08-27;2017-08-28;2017-08-29,6
houston,830461_and_1_more,2019-05-09,14,2019-04-16,-23,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190416T001829_20190416T001854_026808_030341_09F6,,2019-05-10,1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190510T001830_20190510T001855_027158_030FB5_A959,,2019-05-04,-5,COPERNICUS/S2_SR/20190504T164901_20190504T170412_T15RTN,0.439,2019-05-09,0,COPERNICUS/S2_SR/20190509T164849_20190509T170403_T15RTP,0.003,2019-04-28,-11,LANDSAT/LC08/C02/T1_L2/LC08_025039_20190428,0.362,,,,,830461;830464,2019-05-09,2
houston,857803_and_4_more,2019-09-18,13,2019-09-07,-11,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190907T001837_20190907T001902_028908_0346F0_99F7,,2019-09-19,1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190919T001837_20190919T001902_029083_034D00_7C4E,,2019-09-14,-4,COPERNICUS/S2_SR/20190914T165921_20190914T170704_T15RTN,0.673,,,,,2019-09-10,-8,LANDSAT/LC08/C02/T1_L2/LC08_026039_20190910,0.135,,,,,857803;858108;858116;858117;869176,2019-09-18;2019-09-19,5
houston,899524,2020-06-25,16,2020-06-14,-11,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200614T002635_20200614T002700_033006_03D2B2_9749,,2020-06-26,1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200626T002636_20200626T002701_033181_03D804_3ED2,,2020-06-17,-8,COPERNICUS/S2_SR/20200617T164901_20200617T170013_T15RTN,0.391,,,,,2020-06-17,-8,LANDSAT/LC08/C02/T1_L2/LC08_025039_20200617,0.805,,,,,899524,2020-06-25,1
houston,963117,2021-06-21,15,2021-06-09,-12,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210609T002640_20210609T002705_038256_0483BB_7601,,2021-06-21,0,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210621T002641_20210621T002706_038431_0488F1_75AA,,2021-06-17,-4,COPERNICUS/S2_SR/20210617T164839_20210617T170159_T15RTP,0.407,2021-06-22,1,COPERNICUS/S2_SR/20210622T164901_20210622T165949_T15RTP,0.208,2021-06-11,-10,LANDSAT/LC08/C02/T1_L2/LC08_026039_20210611,0.183,,,,,963117,2021-06-21,1
houston,1004355_and_4_more,2022-01-09,12,2021-12-30,-10,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20211230T002644_20211230T002709_041231_04E66D_5F0B,,2022-01-11,2,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220111T002644_20220111T002709_041406_04EC59_F1CD,,2022-01-03,-6,COPERNICUS/S2_SR/20220103T165709_20220103T170107_T15RTN,0.542,,,,,2022-01-05,-4,LANDSAT/LC08/C02/T1_L2/LC08_026039_20220105,0.287,,,,,1004355;1004356;1004366;1004373;1004376,2022-01-09,5
