EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
234586,HARRIS CO.,LITTLE YORK,05/14/2010,1858,Flash Flood, , ,1,0,5000,0,TX,CST-6, ,40294,C,201,HGX,0,0,Broadcast Media,Heavy Rain, , ,1,SSW,2,W,JETERO,05/15/2010,130,29.8545,-95.4091,29.9258,-95.4266,"Interstate 45 feeder roads were impassable due to high water over the roadway. One fatality occurred when a vehicle drove off the feeder road and into a retention pond. This occurred on the 6900 block of Interstate 45 between West Little York and West Parker Road.","Scattered thunderstorms over southeast Texas produced flooding over portions of the area.",1
238506,HARRIS CO.,GREENS BAYOU,07/02/2010,1400,Flash Flood, , ,0,0,1750000,0,TX,CST-6, ,40969,C,201,HGX,0,0,County Official,Heavy Rain, , ,1,E,1,WNW,LAKE HOUSTON,07/02/2010,1900,29.7514,-95.1869,29.9551,-95.1691,"Heavy rainfall caused flooding of 40 homes in Harris County along Halls, Hunting, and Little White Oak bayous.","The passage of Hurricane Alex through the northwestern Gulf of Mexico and into northern Mexico led to a surge of tropical moisture into southeast Texas. The resulting showers and thunderstorms produced very heavy rainfall in and around the Houston metro area leading to damage from flash flooding.",2
361891,HARRIS CO.,ENGLEWOOD,01/09/2012,1007,Flash Flood, , ,0,0,20000,0,TX,CST-6, ,60615,C,201,HGX,0,0,Emergency Manager,Heavy Rain, , ,3,WNW,1,WNW,ALIEF,01/09/2012,1230,29.8026,-95.397,29.7241,-95.6168,"Flash flooding lead to numerous high water rescues in and around the Houston area, especially across the southwest area.","Severe thunderstorms developed across southeast Texas and produced hail, wind damage, flash flooding and tornadoes.",3
361992,HARRIS CO.,WESTFIELD,01/25/2012,1218,Flash Flood, , ,0,0,25000,0,TX,CST-6, ,60624,C,201,HGX,0,0,County Official,Heavy Rain, , ,1,W,2,NNE,HOUSTON WEISER ARPT,01/25/2012,1310,30.0234,-95.4211,29.9552,-95.6195,"Numerous roads in and around the Houston area were closed due to heavy rains and flooding.","Severe thunderstorms produced tornado and wind damage along with some flash flooding.",4
386985,HARRIS CO.,BARKER,05/12/2012,300,Flash Flood, , ,0,0,40000,0,TX,CST-6, ,64538,C,201,HGX,0,0,Emergency Manager,Heavy Rain, , ,2,WSW,5,S,STAFFORD,05/12/2012,700,29.7642,-95.7283,29.5516,-95.579,"Rainfall totals of between five to ten inches produced widespread flooding. Street flooding was severe enough to force numerous road closures from northwestern Fort Bend County eastward into northern Galveston County. Homes and businesses flooded along Keegans Bayou from below Wilcrest Road to above Beltway 8. Thirteen to fifteen businesses flooded on the western bank of Keegans Bayou along West Bellfort Road between US 59 and Wilcrest. This flooding was a direct result of the bayou over-topping its banks by 2 to 3 feet. Based on high water marks left on the Wilcrest bridge at least 1 foot of water was flowing over the top of the bridge deck. 1 house flooded along Keegans Bayou between Beltway 8 and US 59 from local run-off then from the bayou when it rose above bank full.","An upper level trough, coupled with deep moisture and a slow-moving lower level boundary, allowed for the focus of numerous thunderstorms that produced flooding rainfall.",5
406442,HARRIS CO.,LOUETTA,07/12/2012,530,Flash Flood, , ,0,0,1000,0,TX,CST-6, ,66926,C,201,HGX,0,0,Public,Heavy Rain, , ,1,WNW,1,SE,SATSUMA,07/12/2012,630,29.9051,-95.6009,29.9073,-95.605,"Parts of Eldridge Parkway near 290 became impassable due to high water.","A stationary front focused thunderstorm development over the area on July 12 and 13 producing heavy rainfall and flooding.",6
406443,HARRIS CO.,SATSUMA,07/12/2012,530,Flash Flood, , ,0,0,3000,0,TX,CST-6, ,66926,C,201,HGX,0,0,County Official,Heavy Rain, , ,2,SW,2,SSW,SATSUMA,07/12/2012,630,29.8921,-95.6421,29.8913,-95.6407,"Cars were flooded out around Highway 6 and Logenbaugh Drive.","A stationary front focused thunderstorm development over the area on July 12 and 13 producing heavy rainfall and flooding.",7
406444,HARRIS CO.,KOHRVILLE,07/12/2012,730,Flash Flood, , ,0,0,3000,0,TX,CST-6, ,66926,C,201,HGX,0,0,County Official,Heavy Rain, , ,2,SE,2,SE,KOHRVILLE,07/12/2012,830,29.9835,-95.6124,29.9813,-95.6131,"North Eldridge Parkway south of Grant Road was impassable due to high water.","A stationary front focused thunderstorm development over the area on July 12 and 13 producing heavy rainfall and flooding.",8
402590,HARRIS CO.,HOCKLEY,07/12/2012,1200,Flood, , ,0,0,5000000,10000,TX,CST-6, ,66926,C,201,HGX,0,0,County Official,Heavy Rain, , ,6,NW,6,S,HOCKLEY,07/15/2012,1800,30.099,-95.9039,29.9425,-95.8531,"Water was reported in 71 homes in Harris County and 234 homes in Montgomery County. Spring, Willow and Little Cypress Creek watersheds were impacted.","A stationary front focused thunderstorm development over the area on July 12 and 13 producing heavy rainfall and flooding.",9
406455,HARRIS CO.,HOUSTON,07/13/2012,1100,Flash Flood, , ,0,0,2000,0,TX,CST-6, ,66926,C,201,HGX,0,0,County Official,Heavy Rain, , ,1,ENE,1,ENE,HOUSTON,07/13/2012,1200,29.7368,-95.3481,29.7364,-95.3483,"Flooding in Interstate 45 service road near Scott Street.","A stationary front focused thunderstorm development over the area on July 12 and 13 producing heavy rainfall and flooding.",10
