city,event_id,event_date,s1_total_passes,s1_before_date,s1_before_offset_days,s1_before_image_id,s1_before_valid_fraction,s1_after_date,s1_after_offset_days,s1_after_image_id,s1_after_valid_fraction,s2_before_date,s2_before_offset_days,s2_before_image_id,s2_before_valid_fraction,s2_after_date,s2_after_offset_days,s2_after_image_id,s2_after_valid_fraction,landsat_before_date,landsat_before_offset_days,landsat_before_image_id,landsat_before_valid_fraction,landsat_after_date,landsat_after_offset_days,landsat_after_image_id,landsat_after_valid_fraction
raleigh,755610,2018-05-21,2,2018-05-10,-11,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20180510T231408_20180510T231433_021849_025BA5_EB89,,2018-05-22,1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20180522T231409_20180522T231434_022024_026137_6DDC,,2018-05-09,-12,COPERNICUS/S2_SR/20180509T155859_20180509T160532_T17SQV,0.768,2018-05-24,3,COPERNICUS/S2_SR/20180524T160231_20180524T161104_T17SQV,0.431,2018-05-12,-9,LANDSAT/LC08/C02/T1_L2/LC08_016035_20180512,0.990,,,,
raleigh,775032,2018-07-06,2,2018-06-27,-9,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20180627T231411_20180627T231436_022549_027150_2A0E,,2018-07-09,3,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20180709T231411_20180709T231436_022724_02766D_A8A8,,2018-06-28,-8,COPERNICUS/S2_SR/20180628T155819_20180628T160601_T17SQV,0.238,2018-07-08,2,COPERNICUS/S2_SR/20180708T155819_20180708T161248_T17SQV,0.769,2018-06-29,-7,LANDSAT/LC08/C02/T1_L2/LC08_016035_20180629,0.709,2018-07-08,2,LANDSAT/LC08/C02/T1_L2/LC08_015035_20180708,0.851
raleigh,775034,2018-07-06,2,2018-06-27,-9,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20180627T231411_20180627T231436_022549_027150_2A0E,,2018-07-09,3,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20180709T231411_20180709T231436_022724_02766D_A8A8,,2018-06-28,-8,COPERNICUS/S2_SR/20180628T155819_20180628T160601_T17SQV,0.238,2018-07-08,2,COPERNICUS/S2_SR/20180708T155819_20180708T161248_T17SQV,0.769,2018-06-29,-7,LANDSAT/LC08/C02/T1_L2/LC08_016035_20180629,0.709,2018-07-08,2,LANDSAT/LC08/C02/T1_L2/LC08_015035_20180708,0.851
raleigh,775037,2018-07-06,2,2018-06-27,-9,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20180627T231411_20180627T231436_022549_027150_2A0E,,2018-07-09,3,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20180709T231411_20180709T231436_022724_02766D_A8A8,,2018-06-28,-8,COPERNICUS/S2_SR/20180628T155819_20180628T160601_T17SQV,0.238,2018-07-08,2,COPERNICUS/S2_SR/20180708T155819_20180708T161248_T17SQV,0.769,2018-06-29,-7,LANDSAT/LC08/C02/T1_L2/LC08_016035_20180629,0.709,2018-07-08,2,LANDSAT/LC08/C02/T1_L2/LC08_015035_20180708,0.851
raleigh,775029,2018-07-07,2,2018-06-27,-10,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20180627T231411_20180627T231436_022549_027150_2A0E,,2018-07-09,2,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20180709T231411_20180709T231436_022724_02766D_A8A8,,2018-06-28,-9,COPERNICUS/S2_SR/20180628T155819_20180628T160601_T17SQV,0.238,2018-07-08,1,COPERNICUS/S2_SR/20180708T155819_20180708T161248_T17SQV,0.769,2018-06-29,-8,LANDSAT/LC08/C02/T1_L2/LC08_016035_20180629,0.709,2018-07-08,1,LANDSAT/LC08/C02/T1_L2/LC08_015035_20180708,0.851
raleigh,775031,2018-07-07,2,2018-06-27,-10,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20180627T231411_20180627T231436_022549_027150_2A0E,,2018-07-09,2,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20180709T231411_20180709T231436_022724_02766D_A8A8,,2018-06-28,-9,COPERNICUS/S2_SR/20180628T155819_20180628T160601_T17SQV,0.238,2018-07-08,1,COPERNICUS/S2_SR/20180708T155819_20180708T161248_T17SQV,0.769,2018-06-29,-8,LANDSAT/LC08/C02/T1_L2/LC08_016035_20180629,0.709,2018-07-08,1,LANDSAT/LC08/C02/T1_L2/LC08_015035_20180708,0.851
raleigh,1029187,2022-05-23,2,2022-05-13,-10,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220513T231430_20220513T231455_043199_0528C5_5077,,2022-05-25,2,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220525T231430_20220525T231455_043374_052DF9_09E0,,2022-05-20,-3,COPERNICUS/S2_SR/20220520T154821_20220520T155606_T17SQA,0.051,2022-05-23,0,COPERNICUS/S2_SR/20220523T155831_20220523T160634_T17SQV,0.181,2022-05-16,-7,LANDSAT/LC08/C02/T1_L2/LC08_015035_20220516,0.016,2022-05-23,0,LANDSAT/LC08/C02/T1_L2/LC08_016035_20220523,0.309
raleigh,1173317,2024-05-25,2,2024-05-14,-11,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240514T231439_20240514T231504_053874_068C4B_5E79,,2024-05-26,1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240526T231440_20240526T231505_054049_069253_4EF3,,2024-05-19,-6,COPERNICUS/S2_SR/20240519T154941_20240519T155829_T17SQA,0.000,2024-05-29,4,COPERNICUS/S2_SR/20240529T154941_20240529T155815_T17SQV,0.594,2024-05-21,-4,LANDSAT/LC08/C02/T1_L2/LC08_015035_20240521,0.828,2024-05-28,3,LANDSAT/LC08/C02/T1_L2/LC08_016035_20240528,0.702
raleigh,1208861,2024-08-03,1,,,,,2024-08-06,3,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240806T231437_20240806T231502_055099_06B6C2_779E,,2024-07-28,-6,COPERNICUS/S2_SR/20240728T154941_20240728T160102_T17SQV,0.662,,,,,2024-07-31,-3,LANDSAT/LC08/C02/T1_L2/LC08_016035_20240731,1.000,,,,
raleigh,1208432,2024-08-04,1,,,,,2024-08-06,2,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20240806T231437_20240806T231502_055099_06B6C2_779E,,2024-07-28,-7,COPERNICUS/S2_SR/20240728T154941_20240728T160102_T17SQV,0.662,,,,,2024-07-31,-4,LANDSAT/LC08/C02/T1_L2/LC08_016035_20240731,1.000,,,,
